low_end,low_end_raw,low_end_sign,low_end_biased_exp,low_end_mantissa,low_end_24bit,low_end_24bit_hex,low_end_plus_1,low_end_plus_1_raw,low_end_plus_1_sign,low_end_plus_1_biased_exp,low_end_plus_1_mantissa,low_end_plus_1_24bit,low_end_plus_1_24bit_hex,high_end_minus_1,high_end_minus_1_raw,high_end_minus_1_sign,high_end_minus_1_biased_exp,high_end_minus_1_mantissa,high_end_minus_1_24bit,high_end_minus_1_24bit_hex,high_end,high_end_raw,high_end_sign,high_end_biased_exp,high_end_mantissa,high_end_24bit,high_end_24bit_hex
1.136868377e-13,0x2a000000,0,84,0,0,0x000000,1.136868513e-13,0x2a000001,0,84,1,0,0x000000,2.273736483e-13,0x2a7ffffe,0,84,8388606,0,0x000000,2.273736619e-13,0x2a7fffff,0,84,8388607,0,0x000000
2.273736754e-13,0x2a800000,0,85,0,0,0x000000,2.273737025e-13,0x2a800001,0,85,1,0,0x000000,4.547472967e-13,0x2afffffe,0,85,8388606,0,0x000000,4.547473238e-13,0x2affffff,0,85,8388607,0,0x000000
4.547473509e-13,0x2b000000,0,86,0,0,0x000000,4.547474051e-13,0x2b000001,0,86,1,0,0x000000,9.094945934e-13,0x2b7ffffe,0,86,8388606,0,0x000000,9.094946476e-13,0x2b7fffff,0,86,8388607,0,0x000000
9.094947018e-13,0x2b800000,0,87,0,0,0x000000,9.094948102e-13,0x2b800001,0,87,1,0,0x000000,1.818989187e-12,0x2bfffffe,0,87,8388606,0,0x000000,1.818989295e-12,0x2bffffff,0,87,8388607,0,0x000000
1.818989404e-12,0x2c000000,0,88,0,0,0x000000,1.818989620e-12,0x2c000001,0,88,1,0,0x000000,3.637978373e-12,0x2c7ffffe,0,88,8388606,0,0x000000,3.637978590e-12,0x2c7fffff,0,88,8388607,0,0x000000
3.637978807e-12,0x2c800000,0,89,0,0,0x000000,3.637979241e-12,0x2c800001,0,89,1,0,0x000000,7.275956747e-12,0x2cfffffe,0,89,8388606,0,0x000000,7.275957181e-12,0x2cffffff,0,89,8388607,0,0x000000
7.275957614e-12,0x2d000000,0,90,0,0,0x000000,7.275958482e-12,0x2d000001,0,90,1,0,0x000000,1.455191349e-11,0x2d7ffffe,0,90,8388606,0,0x000000,1.455191436e-11,0x2d7fffff,0,90,8388607,0,0x000000
1.455191523e-11,0x2d800000,0,91,0,0,0x000000,1.455191696e-11,0x2d800001,0,91,1,0,0x000000,2.910382699e-11,0x2dfffffe,0,91,8388606,0,0x000000,2.910382872e-11,0x2dffffff,0,91,8388607,0,0x000000
2.910383046e-11,0x2e000000,0,92,0,0,0x000000,2.910383393e-11,0x2e000001,0,92,1,0,0x000000,5.820765397e-11,0x2e7ffffe,0,92,8388606,0,0x000000,5.820765744e-11,0x2e7fffff,0,92,8388607,0,0x000000
5.820766091e-11,0x2e800000,0,93,0,0,0x000000,5.820766785e-11,0x2e800001,0,93,1,0,0x000000,1.164153079e-10,0x2efffffe,0,93,8388606,0,0x000000,1.164153149e-10,0x2effffff,0,93,8388607,0,0x000000
1.164153218e-10,0x2f000000,0,94,0,0,0x000000,1.164153357e-10,0x2f000001,0,94,1,0,0x000000,2.328306159e-10,0x2f7ffffe,0,94,8388606,0,0x000000,2.328306298e-10,0x2f7fffff,0,94,8388607,0,0x000000
2.328306437e-10,0x2f800000,0,95,0,0,0x000000,2.328306714e-10,0x2f800001,0,95,1,0,0x000000,4.656612318e-10,0x2ffffffe,0,95,8388606,0,0x000000,4.656612596e-10,0x2fffffff,0,95,8388607,0,0x000000
4.656612873e-10,0x30000000,0,96,0,0,0x000000,4.656613428e-10,0x30000001,0,96,1,0,0x000000,9.313224636e-10,0x307ffffe,0,96,8388606,0,0x000000,9.313225191e-10,0x307fffff,0,96,8388607,0,0x000000
9.313225746e-10,0x30800000,0,97,0,0,0x000000,9.313226856e-10,0x30800001,0,97,1,0,0x000000,1.862644927e-09,0x30fffffe,0,97,8388606,0,0x000000,1.862645038e-09,0x30ffffff,0,97,8388607,0,0x000000
1.862645149e-09,0x31000000,0,98,0,0,0x000000,1.862645371e-09,0x31000001,0,98,1,0,0x000000,3.725289854e-09,0x317ffffe,0,98,8388606,0,0x000000,3.725290076e-09,0x317fffff,0,98,8388607,0,0x000000
3.725290298e-09,0x31800000,0,99,0,0,0x000000,3.725290743e-09,0x31800001,0,99,1,0,0x000000,7.450579709e-09,0x31fffffe,0,99,8388606,0,0x000000,7.450580153e-09,0x31ffffff,0,99,8388607,0,0x000000
7.450580597e-09,0x32000000,0,100,0,0,0x000000,7.450581485e-09,0x32000001,0,100,1,0,0x000000,1.490115942e-08,0x327ffffe,0,100,8388606,0,0x000000,1.490116031e-08,0x327fffff,0,100,8388607,0,0x000000
1.490116119e-08,0x32800000,0,101,0,0,0x000000,1.490116297e-08,0x32800001,0,101,1,0,0x000000,2.980231883e-08,0x32fffffe,0,101,8388606,0,0x000000,2.980232061e-08,0x32ffffff,0,101,8388607,0,0x000000
